,RR,NE,MT,MP,MG,MC
724,529594,346538,531092,615726,558546,406657
725,514867,350617,520594,541746,555299,402046
726,630944,389772,623140,538968,606766,455746
727,622830,392552,614497,627949,623783,463019
728,625902,389936,614316,559728,639023,454350
729,627641,387164,627871,526809,602039,461523
730,632795,391289,630812,588671,538209,448397
731,632942,392533,628205,579476,547852,456216
732,579817,402447,581766,526723,532223,449430
733,570389,406506,575969,511462,512011,428847
734,594173,403374,588151,584160,514612,447559
735,576023,401955,586433,399090,517089,443550
736,586305,400877,594454,300480,504814,443258
737,594575,403237,576186,443960,509028,435557
738,590763,417051,585886,592270,513123,446736
739,587792,416515,597783,741120,495507,441508
740,591924,419014,602464,488094,501693,441506
741,589720,422386,604891,452391,497887,450760
742,585782,415877,585217,598246,499437,432855
743,588225,419084,589944,657732,498080,439108
744,611858,438874,631247,465283,514207,462303
745,629761,442248,625616,528349,553997,463693
746,631655,438714,622950,584160,547181,459719
747,630372,437401,623988,585209,547788,463544
748,622429,437511,632105,546859,537345,458045
749,636033,441855,623791,384725,502376,459571
750,625891,444204,619649,437280,493721,464245
751,621755,449887,623050,456325,490351,456426
752,620086,437522,622070,595695,485973,469313
753,630574,454242,615317,666085,491053,461651
754,625273,444269,614765,483767,491802,468296
755,627323,442691,614807,567931,490329,455386
756,663072,466442,676675,637262,530469,483759
757,664031,461513,670585,526132,530223,490660
758,657725,458595,670601,505032,534857,477178
759,669054,458585,673304,647721,528141,482236
760,649252,459028,662764,454789,536833,484989
761,654932,456670,665058,333353,539266,478292
762,646682,431824,656078,499337,522665,485649
763,664645,429474,662387,647379,530962,474093
764,652706,428490,641830,693500,519840,479745
765,654806,426638,649970,487706,531664,474912
766,652407,429901,637111,522245,524202,479645
767,659880,432131,657026,644522,526858,486100
768,601675,400537,605587,380004,511999,471573
769,610675,405768,595394,437280,530129,449887
770,618201,403319,607272,454450,531192,454649
771,605137,404757,593609,584160,531525,464093
772,615211,403383,594821,651378,529416,448487
773,596117,395323,600820,476815,530758,459345
774,582254,424545,580517,541217,529180,431099
775,585090,423800,585809,584160,512698,445789
776,585583,423861,574791,555522,514622,451561
777,588814,424022,586045,437280,514647,448715
778,580623,428173,598233,584160,514390,441652
779,591052,424483,582923,601410,514959,452010
780,592286,427739,609345,589156,515759,447897
781,598643,431246,593284,450513,515389,452091
782,597062,429583,590773,584160,495303,456491
783,602296,430663,598863,586927,447184,461661
784,606872,436194,604243,662644,451902,466259
785,604986,431111,601535,318299,451967,464272
786,679184,454359,693058,328064,464869,486518
787,676746,461032,689995,491272,455170,483014
788,683575,456725,694505,637059,460523,481410
789,673560,453604,686655,687888,464973,482240
790,686721,453877,697864,560525,459747,493638
791,682620,454440,689098,586356,463827,483849
792,718160,457165,741120,668626,473783,497903
793,712145,459435,741120,444196,496627,499665
794,720629,460883,741120,369598,501253,496865
795,718835,456081,741120,547381,495299,498815
796,718251,466061,741120,681914,496390,500094
797,718270,458446,741120,689327,496969,500556
798,731177,470051,741120,441640,507443,501283
799,729207,475228,741120,358854,520503,506955
800,727878,471931,741120,540452,522530,505698
801,729581,470491,741120,665047,531593,502687
802,731767,471507,741120,714858,519511,507951
803,730540,470089,741120,484189,519306,506645
804,723096,467267,741120,324595,513008,501607
805,723736,462132,741120,511222,593669,502526
806,719146,462631,741120,641142,589210,503222
807,722014,466152,741120,689246,595204,505045
808,722720,458824,741120,454403,600947,502307
809,726690,463254,741120,466785,592023,501328
810,672976,413968,741120,613480,546909,493273
811,665132,415041,741120,609467,600751,491854
812,669148,409867,741120,559969,595699,489938
813,668999,413246,741120,482497,596627,492803
814,666346,412665,741120,596488,598714,492036
815,664486,414578,741120,679780,604072,492173
816,697704,410746,741120,440479,610179,495777
817,688504,412881,711209,420222,602514,495128
818,689308,414505,706981,587159,600125,495253
819,693997,419052,694813,741120,597784,497825
820,689253,420154,683211,623047,604663,494713
821,695107,410706,700899,576940,601516,484890
822,710350,446295,729412,602856,606916,497369
823,710382,446791,728403,592283,592329,498038
824,710710,442772,731417,599196,552840,499750
825,705787,436535,731573,464739,533329,497379
826,699450,442255,728184,458111,534455,497178
827,695491,446699,722494,591785,533297,500397
828,622146,462862,583801,601853,489654,479024
829,622591,465277,601009,521757,480639,465584
830,624989,461717,592810,555982,478284,466416
831,623151,464975,603020,597202,482888,463386
832,624027,460667,588744,470974,478862,465620
833,617821,460890,597980,555484,478358,467505
834,574266,469746,511781,584160,451219,445887
835,577594,468050,514298,438583,461996,441066
836,571780,465905,507744,512560,458809,443494
837,574950,472959,511360,584160,456626,447994
838,577063,470947,516625,430123,455984,445664
839,573838,472539,518369,514240,456193,449558
840,581811,458575,544653,584160,466962,449193
841,584695,449384,531382,543091,484729,454069
842,555290,448523,533454,471795,485286,452427
843,550091,452588,534873,509980,477645,452533
844,557493,457775,535249,584160,476039,453496
845,557038,455926,528028,576054,477257,450345
846,585295,478012,574318,527389,490588,461224
847,591228,483450,572920,437280,513931,464915
848,580506,482287,570289,571109,515303,461164
849,585519,481609,575415,437280,508255,471737
850,585318,480373,563033,356876,510101,456270
851,587211,474941,569938,437280,513200,458814
852,667705,514370,663030,589007,555508,487914
853,670166,516552,673901,739909,595348,487482
854,660746,509411,668500,503707,598407,495914
855,667471,506643,656496,499361,590047,492793
856,659980,512390,668965,601393,596731,492079
857,666390,515262,661751,677542,591043,493756
858,588837,424365,565023,288732,536849,467420
859,571771,425841,563535,300480,585377,461853
860,567573,427477,564551,437280,591994,461231
861,578997,425944,570480,584160,587542,460446
862,575783,423326,563020,684813,589528,467605
863,582724,428012,558390,470478,591765,466677
864,581477,363596,554213,492201,590939,453835
865,570973,365475,554059,625643,564710,457022
866,566220,361543,557386,624400,541969,451815
867,561885,364982,550754,476310,525458,459634
868,565143,360323,565290,594937,539945,468381
869,571380,363997,559746,572784,511511,460198
870,601198,385755,595181,574172,556185,479861
871,592512,390665,591040,513879,612899,466931
872,605413,391921,589073,474850,620556,471587
873,598948,384859,595405,584160,611601,471460
874,608878,389542,601635,672549,622909,471474
875,608067,390113,596168,430565,615692,469067
876,590397,392922,563046,466087,602639,469474
877,584715,396889,576187,599231,516869,467862
