,RR,NE,MT,MP,MG,MC
694,227689.16,213996.401,219788.39,237540.0,203973.867,199611.006
695,226887.897,214011.767,220888.758,211230.444,203104.189,198246.82100000003
696,239614.95599999998,216978.36,235122.924,236742.177,209085.996,206672.49199999997
697,240777.548,217066.01,235873.909,237540.0,213504.512,208189.38899999997
698,239483.349,215737.90099999998,238504.33,232476.116,213070.186,206353.913
699,240645.90099999998,216923.136,237066.355,236769.551,213566.446,208750.673
700,238817.798,216180.03100000002,235151.939,237540.0,213746.01299999998,206609.068
701,239181.01899999997,217061.12199999997,236402.454,214316.456,215182.748,206714.92799999999
702,245985.889,222870.815,244896.09199999998,210717.118,217098.90099999998,211453.65099999998
703,246117.565,222365.878,244932.765,237540.0,222751.715,212730.59999999998
704,245191.05099999998,222928.165,244058.52399999998,240400.233,223254.283,210655.718
705,247202.38900000002,222341.809,243308.06600000002,235955.399,222332.902,213144.176
706,245749.82,221999.99,243081.578,221158.875,222614.74,210176.32100000003
707,244905.89599999998,222428.997,244997.37900000002,210136.324,223100.44,211772.715
708,252481.8,225402.90899999999,251587.08000000002,237540.0,226418.014,215737.062
709,251438.49599999998,224384.391,250451.97,244261.145,234219.384,216072.242
710,252039.151,225050.848,250891.237,212950.688,232496.445,216448.87500000003
711,253273.45,224482.68099999998,251207.95500000002,174420.0,234960.94999999998,215518.49599999998
712,251962.88700000002,224448.51799999998,251670.008,208639.902,232722.899,216363.146
713,252605.441,224391.851,250139.15399999998,237540.0,233723.0,215183.366
714,239479.94400000002,208854.06699999998,236106.39899999998,264576.179,224177.488,205921.02000000002
715,240580.956,209540.663,236051.255,239730.877,233542.61899999998,207161.064
716,240554.957,209180.312,235622.25400000002,225721.688,234139.91499999998,207451.117
717,240546.76499999998,209206.90399999998,236225.459,207780.0,233497.682,209297.881
718,240499.918,209135.544,237071.525,237540.0,232714.88499999998,205821.802
719,237783.534,209155.802,234835.40399999998,247905.563,232812.08,207338.779
720,230920.41,196667.478,231356.386,237954.70799999998,231339.054,204619.515
721,232867.24099999998,196203.571,230139.46600000001,231406.988,236116.42299999998,204698.28699999998
722,230335.018,196638.086,230218.559,217582.402,235158.864,206154.095
723,230649.44,196649.593,230886.90899999999,229537.313,234958.21,206360.581
724,232756.354,196161.603,231743.025,244660.78399999999,235612.411,204655.00699999998
725,229861.174,196975.949,230238.856,229947.375,235246.751,203776.543
726,250400.125,205061.869,247996.021,229426.5,243814.94499999998,214392.93
727,248438.80599999998,205277.00699999998,246667.339,246920.438,247995.494,215443.033
728,249427.648,204973.73799999998,246625.19300000003,233210.40600000002,250148.617,213984.163
729,249849.56399999998,204347.65899999999,249030.885,227146.688,243013.329,214838.45
730,250601.904,205297.299,249527.88299999997,238631.183,227284.88999999998,212719.891
731,250616.701,205401.056,249113.606,236792.423,228688.26099999997,214428.62199999997
732,241194.90000000002,207221.795,241300.818,227130.563,225673.11299999998,212671.41599999997
733,239905.081,208185.307,239674.949,224269.125,220115.238,208775.44
734,243978.19500000004,207106.22999999998,242037.93999999997,237540.0,220701.725,212500.464
735,240807.896,206986.454,241880.143,203197.502,221227.87399999998,211724.107
736,242779.42700000003,206833.055,243007.526,174420.0,218986.794,211623.507
737,244067.94600000003,207138.37,239693.014,209384.51,219808.085,210045.871
738,243428.05099999998,209923.61200000002,241825.658,239545.052,220456.707,212425.43300000002
739,243050.605,209884.517,243598.891,267600.0,217769.467,211390.029
740,243547.30899999998,210231.215,244635.78699999998,219880.764,218607.165,211420.713
741,243309.95500000002,211087.174,245093.5,211409.603,217854.554,213092.34499999997
742,242650.864,209841.578,241756.072,240821.889,218193.222,209745.663
743,243115.11,210525.674,242457.029,252504.75,218053.13,211045.885
744,247024.721,213844.722,249579.567,214506.211,220431.923,215144.606
745,250247.62900000002,214493.658,248380.36599999998,227435.438,226951.697,215313.978
746,250481.67199999996,214046.611,247975.697,237540.0,226044.672,214268.279
747,250329.373,213714.55099999998,248080.41400000002,237993.214,225943.698,215487.346
748,248406.856,214020.985,249738.164,231014.764,224619.673,214329.591
749,251266.897,214539.113,248061.456,200467.611,218338.85199999998,214798.46
750,249425.341,215274.768,247448.196,207780.0,216828.095,215572.503
751,248352.968,216206.089,247986.511,212354.535,216980.601,213846.38499999998
752,248211.96000000002,213903.781,247876.609,240262.269,215893.35100000002,216105.391
753,250354.98500000002,217121.30599999998,246816.873,254070.938,216252.973,214907.293
754,249303.96899999998,215248.722,246723.33900000004,218945.99599999998,216500.707,215836.39599999998
755,249740.73600000003,214709.644,246730.49899999998,234656.03399999999,216512.00900000002,214054.462
756,255508.00600000002,219142.93399999998,257361.758,248666.625,222901.332,218942.536
757,255553.206,218343.213,256305.98799999998,227019.75,222803.361,220315.68600000002
758,254610.952,217826.13,256307.87900000002,223063.5,223596.262,217757.49099999998
759,256779.954,217623.09600000002,256929.794,250627.688,222918.652,218847.65099999998
760,253272.67699999997,217905.197,254838.99099999998,213642.938,223673.772,219384.39
761,254309.513,217492.99899999998,254960.65,183260.50699999998,224607.792,217766.875
762,252684.52,212646.63300000003,253881.595,221995.688,221332.266,219432.012
763,255859.624,212454.802,254793.174,250563.563,222543.073,216919.049
764,253949.612,211935.30699999997,251289.62300000002,259419.927,220349.616,218175.166
765,254293.905,211625.068,252761.068,219814.875,222554.72,217195.10700000002
766,253871.90699999998,212121.125,250526.081,226290.938,221375.858,218108.738
767,254798.779,212650.56900000002,253973.853,250027.875,221969.00699999998,219398.37900000002
768,245057.55599999998,207290.767,245181.365,203043.02099999998,218901.891,216603.522
769,246359.81,208150.196,242780.146,207780.0,221158.437,212630.2
770,247879.17700000003,207927.516,245365.97,211904.16700000002,221413.766,213514.908
